scenario,regulation_timing,merchant_conversion_rate,take_rate_pct,active_merchants,monthly_gmv_per_merchant_krw,annual_gmv_krw,annual_revenue_krw,annual_revenue_usd,year1_revenue_krw,year2_revenue_krw,year3_revenue_krw
Optimistic_3pct_0.1pct,2026년 하반기 시행령 확정,0.03,0.1,1500,50000000,900000000000,900000000,620689.66,900000000,900000000,900000000
Optimistic_3pct_0.2pct,2026년 하반기 시행령 확정,0.03,0.2,1500,50000000,900000000000,1800000000,1241379.31,1800000000,1800000000,1800000000
Optimistic_3pct_0.3pct,2026년 하반기 시행령 확정,0.03,0.3,1500,50000000,900000000000,2700000000,1862068.97,2700000000,2700000000,2700000000
Optimistic_7pct_0.1pct,2026년 하반기 시행령 확정,0.07,0.1,3500,50000000,2100000000000,2100000000,1448275.86,2100000000,2100000000,2100000000
Optimistic_7pct_0.2pct,2026년 하반기 시행령 확정,0.07,0.2,3500,50000000,2100000000000,4200000000,2896551.72,4200000000,4200000000,4200000000
Optimistic_7pct_0.3pct,2026년 하반기 시행령 확정,0.07,0.3,3500,50000000,2100000000000,6300000000,4344827.59,6300000000,6300000000,6300000000
Optimistic_15pct_0.1pct,2026년 하반기 시행령 확정,0.15,0.1,7500,50000000,4500000000000,4500000000,3103448.28,4500000000,4500000000,4500000000
Optimistic_15pct_0.2pct,2026년 하반기 시행령 확정,0.15,0.2,7500,50000000,4500000000000,9000000000,6206896.55,9000000000,9000000000,9000000000
Optimistic_15pct_0.3pct,2026년 하반기 시행령 확정,0.15,0.3,7500,50000000,4500000000000,13500000000,9310344.83,13500000000,13500000000,13500000000
Base_3pct_0.1pct,2027년 상반기 시행령 확정,0.03,0.1,1500,50000000,900000000000,900000000,620689.66,900000000,900000000,900000000
Base_3pct_0.2pct,2027년 상반기 시행령 확정,0.03,0.2,1500,50000000,900000000000,1800000000,1241379.31,1800000000,1800000000,1800000000
Base_3pct_0.3pct,2027년 상반기 시행령 확정,0.03,0.3,1500,50000000,900000000000,2700000000,1862068.97,2700000000,2700000000,2700000000
Base_7pct_0.1pct,2027년 상반기 시행령 확정,0.07,0.1,3500,50000000,2100000000000,2100000000,1448275.86,2100000000,2100000000,2100000000
Base_7pct_0.2pct,2027년 상반기 시행령 확정,0.07,0.2,3500,50000000,2100000000000,4200000000,2896551.72,4200000000,4200000000,4200000000
Base_7pct_0.3pct,2027년 상반기 시행령 확정,0.07,0.3,3500,50000000,2100000000000,6300000000,4344827.59,6300000000,6300000000,6300000000
Base_15pct_0.1pct,2027년 상반기 시행령 확정,0.15,0.1,7500,50000000,4500000000000,4500000000,3103448.28,4500000000,4500000000,4500000000
Base_15pct_0.2pct,2027년 상반기 시행령 확정,0.15,0.2,7500,50000000,4500000000000,9000000000,6206896.55,9000000000,9000000000,9000000000
Base_15pct_0.3pct,2027년 상반기 시행령 확정,0.15,0.3,7500,50000000,4500000000000,13500000000,9310344.83,13500000000,13500000000,13500000000
Conservative_3pct_0.1pct,2027년 하반기 이후 확정,0.03,0.1,1500,50000000,900000000000,900000000,620689.66,900000000,900000000,900000000
Conservative_3pct_0.2pct,2027년 하반기 이후 확정,0.03,0.2,1500,50000000,900000000000,1800000000,1241379.31,1800000000,1800000000,1800000000
Conservative_3pct_0.3pct,2027년 하반기 이후 확정,0.03,0.3,1500,50000000,900000000000,2700000000,1862068.97,2700000000,2700000000,2700000000
Conservative_7pct_0.1pct,2027년 하반기 이후 확정,0.07,0.1,3500,50000000,2100000000000,2100000000,1448275.86,2100000000,2100000000,2100000000
Conservative_7pct_0.2pct,2027년 하반기 이후 확정,0.07,0.2,3500,50000000,2100000000000,4200000000,2896551.72,4200000000,4200000000,4200000000
Conservative_7pct_0.3pct,2027년 하반기 이후 확정,0.07,0.3,3500,50000000,2100000000000,6300000000,4344827.59,6300000000,6300000000,6300000000
Conservative_15pct_0.1pct,2027년 하반기 이후 확정,0.15,0.1,7500,50000000,4500000000000,4500000000,3103448.28,4500000000,4500000000,4500000000
Conservative_15pct_0.2pct,2027년 하반기 이후 확정,0.15,0.2,7500,50000000,4500000000000,9000000000,6206896.55,9000000000,9000000000,9000000000
Conservative_15pct_0.3pct,2027년 하반기 이후 확정,0.15,0.3,7500,50000000,4500000000000,13500000000,9310344.83,13500000000,13500000000,13500000000
